subject_id,real_correlation,null_mean_correlation,difference,n_ages,age_min,age_max,age_range,age_mean,n_below_median,n_above_median,split_balance
00320001,0.8144597544641929,0.841300956620666,-0.02684120215647301,13,9,21,12,15.0,8,5,0.625
00680001,0.5510116308484995,0.6314300235243481,-0.0804183926758486,5,16,20,4,18.0,1,4,0.25
00320002,0.7170137729537082,0.7418598122842854,-0.024846039330577274,11,8,18,10,13.0,9,2,0.2222222222222222
00500001,0.8006711681018138,0.8128438496087262,-0.01217268150691242,15,12,28,16,20.0,5,10,0.5
00400001,0.812668897323295,0.8492950828569998,-0.03662618553370489,20,10,29,19,19.5,7,13,0.5384615384615384
00430001,0.7952280289513094,0.8101858537841131,-0.014957824832803723,14,11,29,18,18.571428571428573,6,8,0.75
00560001,0.7928932767656965,0.7884121869578553,0.004481089807841232,14,13,27,14,19.571428571428573,4,10,0.4
00370001,0.7131965915506866,0.7604777454689916,-0.04728115391830501,11,10,20,10,15.0,7,4,0.5714285714285714
00400003,0.7883436918725605,0.8118635273370335,-0.023519835464473005,13,10,22,12,16.0,7,6,0.8571428571428571
00510001,0.705955055889289,0.7674593664998318,-0.061504310610542845,8,12,19,7,15.5,5,3,0.6
00420001,0.7531022084090341,0.7650748501771624,-0.01197264176812829,10,9,18,9,13.5,8,2,0.25
00510002,0.8369805934773404,0.8467049370170463,-0.00972434353970586,7,13,19,6,16.0,4,3,0.75
00240001,0.7721182031488926,0.802940649114582,-0.030822445965689393,15,7,21,14,14.0,10,5,0.5
00490001,0.6957425208253073,0.6923535116308313,0.0033890091944760448,6,13,18,5,15.5,4,2,0.5
00320003,0.7767398758999959,0.7921400768582002,-0.015400200958204269,11,8,18,10,13.0,9,2,0.2222222222222222
00400002,0.8182773320914469,0.8142828632088528,0.003994468882594138,13,13,25,12,19.0,4,9,0.4444444444444444
00370002,0.812926077550381,0.8472431865454843,-0.03431710899510321,12,9,20,11,14.5,8,4,0.5
00590001,0.643990920577335,0.6968619781291455,-0.05287105755181054,5,14,18,4,16.0,3,2,0.6666666666666666
