subject_id,age_bin_1,age_bin_2,median_age_threshold,rdm_correlation,n_common_categories,n_categories_younger,n_categories_older
00320001,younger,older,16.0,0.8412457132623333,154,161,155
00680001,younger,older,16.0,0.5183796644064265,87,88,151
00320002,younger,older,16.0,0.7401634008458486,144,156,144
00500001,younger,older,16.0,0.7942515517796651,154,155,160
00400001,younger,older,16.0,0.8381350623324382,157,160,158
00430001,younger,older,16.0,0.8262526970928917,150,157,153
00560001,younger,older,16.0,0.7918687281224313,147,154,154
00370001,younger,older,16.0,0.746897083259292,151,155,153
00400003,younger,older,16.0,0.8044595873562819,148,152,149
00510001,younger,older,16.0,0.7490887502037757,140,153,144
00420001,younger,older,16.0,0.7410017067534014,141,160,142
00510002,younger,older,16.0,0.8451011945114528,153,157,156
00240001,younger,older,16.0,0.7726346892403824,149,155,153
00490001,younger,older,16.0,0.7016583064483863,127,149,128
00320003,younger,older,16.0,0.8022201189698317,147,155,148
00400002,younger,older,16.0,0.8278297700554198,155,159,156
00370002,younger,older,16.0,0.8485925691469398,156,160,157
00590001,younger,older,16.0,0.6827432950636068,134,139,147
