cdi_category,displacement_mean,displacement_std,n_words,displacement_median,direction_alignment,displacement_cv,magnitude_consistency
food_drink,8.8669,0.8906,42,8.9737,0.9924,0.1004,0.9088
unknown,8.4986,1.6189,7,9.3877,0.9698,0.1905,0.84
household,6.1401,1.6843,39,6.3565,0.9901,0.2743,0.7847
body_parts,6.1208,0.8875,14,6.413,0.9989,0.145,0.8734
clothing,5.9554,1.0263,19,5.4088,0.9989,0.1723,0.853
toys,4.8482,2.0198,11,4.5579,0.9505,0.4166,0.7059
furniture_rooms,4.8216,0.4023,16,4.7845,0.9985,0.0834,0.923
animals,3.6693,0.5699,28,3.513,0.9929,0.1553,0.8656
outside,3.0542,1.4302,16,2.7227,0.9838,0.4683,0.6811
vehicles,2.1258,1.0321,13,2.1453,0.9878,0.4855,0.6732
